"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent",""
"Crawford, Brandon","543063","2017",".241",".394",".301",".302",".300",".153",".346",".347",".316",".310","87.5","11.3",5.8,76.2,28.8,51.5,80,27.9,
"Harrison, Josh","543281","2017",".252",".390",".332",".311",".323",".138",".361",".333",".331",".309","84.9","16.5",2.7,73,33,69.1,81.3,21.7,
"Hosmer, Eric","543333","2017",".286",".454",".376",".352",".357",".168",".414",".382",".383",".347","89.8","3.9",7,69.7,26.9,59.5,86.4,21.6,
"Rendon, Anthony","543685","2017",".275",".478",".394",".369",".384",".203",".410",".375",".354",".326","89.8","18.3",6.5,61.7,18.8,70.7,90,14.2,
"Shaw, Travis","543768","2017",".251",".440",".361",".328",".329",".189",".436",".388",".365",".336","88.6","14.9",7.4,66.8,27.6,66.2,84.5,21.1,
"Springer III, George","543807","2017",".288",".528",".376",".384",".373",".241",".417",".429",".351",".360","89.2","9.3",9.3,68,22.3,57.8,83,23.3,
"Strange-Gordon, Dee","543829","2017",".261",".317",".312",".274",".300",".056",".340",".294",".356",".307","81.6","2.2",0.2,69.8,36,73,86.4,14.1,
"Gregorius, Didi","544369","2017",".262",".385",".335",".294",".298",".123",".364",".315",".325",".300","84.5","17.7",3.6,81.7,37.9,65.1,84.6,21.8,
"Trout, Mike","545361","2017",".294",".589",".437",".425",".434",".295",".491",".472",".389",".377","88.8","18",13.3,58.8,18.8,63.5,88.3,18.2,
"Herrera, Odubel","546318","2017",".261",".408",".329",".308",".307",".148",".403",".376",".368",".344","87.2","9.7",6.2,71.2,38.1,59.9,81.1,26.6,
"Abreu, Jose","547989","2017",".290",".520",".377",".364",".342",".231",".438",".420",".374",".358","90.6","11.1",9.5,67.3,30.5,59.3,86.4,22.5,
"Suarez, Eugenio","553993","2017",".261",".439",".356",".352",".368",".179",".410",".404",".355",".357","86.2","14.8",6.9,64.3,21.5,54,83.2,24.4,
"Santana, Domingo","570267","2017",".266",".461",".372",".355",".361",".195",".490",".461",".417",".401","89.2","10.5",9.4,70.5,24.2,48.9,75,32.2,
"Sanchez, Yolmer","570560","2017",".241",".356",".313",".285",".297",".115",".367",".329",".342",".312","84.8","10.4",3.4,67.5,33.2,60.2,83.1,23.6,
"Schoop, Jonathan","570731","2017",".271",".441",".355",".330",".320",".171",".426",".391",".374",".350","87.8","13",7,75.2,33,56.3,80,28.1,
"Arenado, Nolan","571448","2017",".280",".525",".395",".366",".349",".245",".444",".406",".370",".337","88.8","17.6",8.5,71.1,28.1,59.8,84.4,23.3,
"Hamilton, Billy","571740","2017",".239",".289",".278",".262",".293",".050",".320",".298",".319",".311","80.5","10.2",0.4,65.2,26.7,68.9,82.2,19.2,
"Joseph, Tommy","571830","2017",".238",".401",".305",".298",".290",".163",".376",".366",".322",".324","89.3","14.1",7.3,67.7,34.4,56.6,83.5,26.6,
"Lamb, Jake","571875","2017",".253",".466",".353",".353",".364",".213",".419",".420",".342",".353","88.3","12.2",9.3,60.6,20.4,54.6,83.9,23.8,
"Myers, Wil","571976","2017",".234",".442",".335",".330",".323",".208",".422",".415",".350",".343","89.4","15.4",9.1,65,25.3,59.1,80.9,25.8,
"Seager, Kyle","572122","2017",".258",".477",".326",".344",".333",".219",".355",".380",".304",".318","88.3","21",8.6,62.4,23.6,64.9,84.1,20.9,
"Carpenter, Matt","572761","2017",".253",".480",".361",".379",".396",".228",".379",".409",".318",".338","89.7","22.6",8.2,55.7,14.2,59.8,84.6,19.5,
"Dickerson, Corey","572816","2017",".255",".444",".341",".314",".299",".190",".433",".396",".379",".343","87.2","13.9",7.5,78.7,42.7,68.9,73.1,28.6,
"Dozier, Brian","572821","2017",".244",".468",".362",".342",".336",".224",".413",".384",".349",".316","87.9","16.7",8.4,59.6,25.7,64.7,79.8,24.6,
"Bryant, Kris","592178","2017",".260",".497",".399",".376",".382",".237",".445",".410",".379",".337","87","17",9.6,71,24.3,61.4,82.1,24.1,
"Castellanos, Nick","592206","2017",".293",".542",".341",".373",".342",".249",".408",".454",".350",".380","89.1","14.2",10.7,73.1,31.8,54.4,82.2,26.8,
